Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,36,8,Some Random Commen with Id 0
1,0,1,116,8,Some Random Commen with Id 1
2,0,1,50,0,Some Random Commen with Id 2
3,0,1,119,2,Some Random Commen with Id 3
4,1,9,50,3,Some Random Commen with Id 4
5,1,9,91,5,Some Random Commen with Id 5
6,1,9,97,7,Some Random Commen with Id 6
7,1,9,79,2,Some Random Commen with Id 7
8,1,9,163,3,Some Random Commen with Id 8
9,1,9,37,8,Some Random Commen with Id 9
10,2,2,145,3,Some Random Commen with Id 10
11,2,2,8,1,Some Random Commen with Id 11
12,2,2,170,2,Some Random Commen with Id 12
13,2,2,113,9,Some Random Commen with Id 13
14,2,2,178,1,Some Random Commen with Id 14
15,2,2,100,2,Some Random Commen with Id 15
16,2,2,183,5,Some Random Commen with Id 16
17,4,8,187,5,Some Random Commen with Id 17
18,4,8,196,5,Some Random Commen with Id 18
19,4,8,102,5,Some Random Commen with Id 19
20,4,8,91,5,Some Random Commen with Id 20
21,4,8,76,7,Some Random Commen with Id 21
22,5,0,45,2,Some Random Commen with Id 22
23,6,6,95,4,Some Random Commen with Id 23
24,6,6,56,9,Some Random Commen with Id 24
25,6,6,172,5,Some Random Commen with Id 25
26,7,1,56,3,Some Random Commen with Id 26
27,7,1,96,6,Some Random Commen with Id 27
28,7,1,166,3,Some Random Commen with Id 28
29,7,1,13,8,Some Random Commen with Id 29
30,7,1,17,9,Some Random Commen with Id 30
31,7,1,168,4,Some Random Commen with Id 31
32,8,6,8,6,Some Random Commen with Id 32
33,8,6,99,5,Some Random Commen with Id 33
34,8,6,104,2,Some Random Commen with Id 34
35,8,6,82,1,Some Random Commen with Id 35
36,8,6,45,2,Some Random Commen with Id 36
37,8,6,13,4,Some Random Commen with Id 37
38,8,6,19,2,Some Random Commen with Id 38
39,9,0,91,3,Some Random Commen with Id 39
40,9,0,51,4,Some Random Commen with Id 40
41,9,0,79,1,Some Random Commen with Id 41
42,9,0,135,6,Some Random Commen with Id 42
43,9,0,103,4,Some Random Commen with Id 43
44,10,8,43,4,Some Random Commen with Id 44
45,10,8,83,8,Some Random Commen with Id 45
46,12,3,136,6,Some Random Commen with Id 46
47,12,3,145,1,Some Random Commen with Id 47
48,12,3,18,9,Some Random Commen with Id 48
49,12,3,54,8,Some Random Commen with Id 49
50,12,3,72,1,Some Random Commen with Id 50
51,12,3,179,6,Some Random Commen with Id 51
52,12,3,47,7,Some Random Commen with Id 52
53,12,3,81,6,Some Random Commen with Id 53
54,12,3,114,0,Some Random Commen with Id 54
55,13,1,55,1,Some Random Commen with Id 55
56,13,1,123,4,Some Random Commen with Id 56
57,13,1,123,4,Some Random Commen with Id 57
58,13,1,75,9,Some Random Commen with Id 58
59,13,1,57,9,Some Random Commen with Id 59
60,13,1,33,5,Some Random Commen with Id 60
61,13,1,141,3,Some Random Commen with Id 61
62,14,8,159,3,Some Random Commen with Id 62
63,14,8,44,0,Some Random Commen with Id 63
64,14,8,19,5,Some Random Commen with Id 64
65,15,9,38,7,Some Random Commen with Id 65
66,15,9,151,8,Some Random Commen with Id 66
67,15,9,163,1,Some Random Commen with Id 67
68,15,9,58,2,Some Random Commen with Id 68
69,15,9,162,0,Some Random Commen with Id 69
70,16,3,170,0,Some Random Commen with Id 70
71,16,3,68,5,Some Random Commen with Id 71
72,16,3,182,2,Some Random Commen with Id 72
73,16,3,185,2,Some Random Commen with Id 73
74,16,3,123,2,Some Random Commen with Id 74
75,16,3,133,8,Some Random Commen with Id 75
76,17,2,166,4,Some Random Commen with Id 76
77,17,2,192,5,Some Random Commen with Id 77
78,17,2,103,2,Some Random Commen with Id 78
79,17,2,122,1,Some Random Commen with Id 79
80,17,2,9,0,Some Random Commen with Id 80
81,17,2,174,3,Some Random Commen with Id 81
82,18,6,5,8,Some Random Commen with Id 82
83,18,6,87,5,Some Random Commen with Id 83
84,18,6,197,5,Some Random Commen with Id 84
85,18,6,147,5,Some Random Commen with Id 85
86,19,9,157,0,Some Random Commen with Id 86
87,19,9,86,7,Some Random Commen with Id 87
88,19,9,115,4,Some Random Commen with Id 88
89,19,9,62,1,Some Random Commen with Id 89
90,19,9,86,0,Some Random Commen with Id 90
91,19,9,178,5,Some Random Commen with Id 91
92,19,9,61,2,Some Random Commen with Id 92
93,19,9,121,8,Some Random Commen with Id 93
94,20,8,33,3,Some Random Commen with Id 94
95,20,8,126,8,Some Random Commen with Id 95
96,20,8,12,9,Some Random Commen with Id 96
97,20,8,183,3,Some Random Commen with Id 97
98,20,8,104,7,Some Random Commen with Id 98
99,20,8,106,4,Some Random Commen with Id 99
100,20,8,69,3,Some Random Commen with Id 100
101,20,8,172,9,Some Random Commen with Id 101
102,20,8,185,2,Some Random Commen with Id 102
103,21,8,7,5,Some Random Commen with Id 103
104,21,8,64,6,Some Random Commen with Id 104
105,21,8,175,5,Some Random Commen with Id 105
106,21,8,190,5,Some Random Commen with Id 106
107,22,4,55,5,Some Random Commen with Id 107
108,22,4,70,2,Some Random Commen with Id 108
109,22,4,91,8,Some Random Commen with Id 109
110,22,4,33,4,Some Random Commen with Id 110
111,22,4,61,0,Some Random Commen with Id 111
112,22,4,135,8,Some Random Commen with Id 112
113,23,2,127,0,Some Random Commen with Id 113
114,23,2,56,7,Some Random Commen with Id 114
115,23,2,73,4,Some Random Commen with Id 115
116,23,2,151,3,Some Random Commen with Id 116
117,23,2,122,8,Some Random Commen with Id 117
118,23,2,25,8,Some Random Commen with Id 118
119,23,2,57,1,Some Random Commen with Id 119
120,23,2,159,1,Some Random Commen with Id 120
121,23,2,22,2,Some Random Commen with Id 121
122,24,9,50,3,Some Random Commen with Id 122
123,24,9,185,6,Some Random Commen with Id 123
124,25,4,178,5,Some Random Commen with Id 124
125,25,4,181,7,Some Random Commen with Id 125
126,25,4,60,0,Some Random Commen with Id 126
127,25,4,69,6,Some Random Commen with Id 127
128,25,4,117,0,Some Random Commen with Id 128
129,25,4,130,3,Some Random Commen with Id 129
130,25,4,78,2,Some Random Commen with Id 130
131,25,4,2,1,Some Random Commen with Id 131
132,26,5,29,7,Some Random Commen with Id 132
133,26,5,170,6,Some Random Commen with Id 133
134,27,8,67,3,Some Random Commen with Id 134
135,28,5,107,6,Some Random Commen with Id 135
136,28,5,194,2,Some Random Commen with Id 136
137,28,5,157,2,Some Random Commen with Id 137
138,28,5,71,6,Some Random Commen with Id 138
139,28,5,6,4,Some Random Commen with Id 139
140,28,5,147,1,Some Random Commen with Id 140
141,28,5,152,6,Some Random Commen with Id 141
142,28,5,152,9,Some Random Commen with Id 142
143,30,3,63,1,Some Random Commen with Id 143
144,30,3,198,6,Some Random Commen with Id 144
145,30,3,20,2,Some Random Commen with Id 145
146,31,4,146,2,Some Random Commen with Id 146
147,31,4,199,9,Some Random Commen with Id 147
148,31,4,173,4,Some Random Commen with Id 148
149,31,4,53,0,Some Random Commen with Id 149
150,32,6,57,9,Some Random Commen with Id 150
151,32,6,58,8,Some Random Commen with Id 151
152,32,6,86,0,Some Random Commen with Id 152
153,32,6,101,0,Some Random Commen with Id 153
154,32,6,23,6,Some Random Commen with Id 154
155,32,6,115,5,Some Random Commen with Id 155
156,32,6,33,9,Some Random Commen with Id 156
157,32,6,91,9,Some Random Commen with Id 157
158,32,6,178,5,Some Random Commen with Id 158
159,33,0,154,2,Some Random Commen with Id 159
160,33,0,29,0,Some Random Commen with Id 160
161,33,0,191,4,Some Random Commen with Id 161
162,33,0,18,2,Some Random Commen with Id 162
163,33,0,40,1,Some Random Commen with Id 163
164,33,0,79,0,Some Random Commen with Id 164
165,33,0,63,4,Some Random Commen with Id 165
166,33,0,98,3,Some Random Commen with Id 166
167,35,7,34,9,Some Random Commen with Id 167
168,35,7,8,8,Some Random Commen with Id 168
169,35,7,57,1,Some Random Commen with Id 169
170,35,7,127,4,Some Random Commen with Id 170
171,35,7,163,0,Some Random Commen with Id 171
172,35,7,86,8,Some Random Commen with Id 172
173,35,7,171,1,Some Random Commen with Id 173
174,35,7,96,0,Some Random Commen with Id 174
175,36,1,0,5,Some Random Commen with Id 175
176,36,1,133,7,Some Random Commen with Id 176
177,36,1,71,9,Some Random Commen with Id 177
178,37,1,19,2,Some Random Commen with Id 178
179,37,1,72,5,Some Random Commen with Id 179
180,38,1,102,0,Some Random Commen with Id 180
181,38,1,7,6,Some Random Commen with Id 181
182,38,1,190,6,Some Random Commen with Id 182
183,38,1,36,9,Some Random Commen with Id 183
184,38,1,22,3,Some Random Commen with Id 184
185,38,1,22,7,Some Random Commen with Id 185
186,38,1,34,0,Some Random Commen with Id 186
187,38,1,61,9,Some Random Commen with Id 187
188,39,7,18,8,Some Random Commen with Id 188
189,39,7,11,1,Some Random Commen with Id 189
190,39,7,27,2,Some Random Commen with Id 190
191,39,7,38,5,Some Random Commen with Id 191
